captura,fuente,motivo
2026-08-17-0723,sendeco2_eua,ausente
2026-08-17-0850,esios_capacidad_instalada,ausente
2026-08-17-0850,mibgas_curva,ausente
2026-08-17-0850,sendeco2_eua,ausente
2026-08-17-1005,aemet_prediccion_diaria,ausente
2026-08-17-1005,aemet_prediccion_horaria,ausente
2026-08-17-1005,aemet_prediccion_periodos,ausente
2026-08-17-1005,esios_capacidad_instalada,ausente
2026-08-17-1005,mibgas_curva,ausente
2026-08-17-1005,sendeco2_eua,ausente
2026-08-17-1150,esios_capacidad_instalada,ausente
2026-08-17-1150,mibgas_curva,ausente
2026-08-17-1150,sendeco2_eua,ausente
2026-08-17-1216,esios_capacidad_instalada,ausente
2026-08-17-1216,mibgas_curva,ausente
2026-08-17-1216,sendeco2_eua,ausente
2026-08-17-1349,aemet_prediccion_diaria,ausente
2026-08-17-1349,aemet_prediccion_horaria,ausente
2026-08-17-1349,aemet_prediccion_periodos,ausente
2026-08-17-1349,esios_capacidad_instalada,ausente
2026-08-17-1349,mibgas_curva,ausente
2026-08-17-1349,sendeco2_eua,ausente
2026-08-17-1450,esios_capacidad_instalada,ausente
2026-08-17-1450,mibgas_curva,ausente
2026-08-17-1450,sendeco2_eua,ausente
2026-08-17-1603,aemet_prediccion_diaria,ausente
2026-08-17-1603,aemet_prediccion_horaria,ausente
2026-08-17-1603,aemet_prediccion_periodos,ausente
2026-08-17-1603,esios_capacidad_instalada,ausente
2026-08-17-1603,mibgas_curva,ausente
2026-08-17-1603,sendeco2_eua,ausente
2026-08-17-1747,esios_capacidad_instalada,ausente
2026-08-17-1747,mibgas_curva,ausente
2026-08-17-1747,sendeco2_eua,ausente
2026-08-17-1958,aemet_prediccion_diaria,ausente
2026-08-17-1958,aemet_prediccion_horaria,ausente
2026-08-17-1958,aemet_prediccion_periodos,ausente
2026-08-17-1958,entsoe_A65_prev_demanda_es,ausente
2026-08-17-1958,esios_capacidad_instalada,ausente
2026-08-17-1958,mibgas_curva,ausente
2026-08-17-1958,sendeco2_eua,ausente
2026-08-17-2050,esios_capacidad_instalada,ausente
2026-08-17-2050,mibgas_curva,ausente
2026-08-17-2050,sendeco2_eua,ausente
